"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"PRG193910110","harvb101","PRG","9","1","value","2","2","0","1","0","1","0","1","0","0","0","0","0","","0","0","0","0","0","","","","19391011","0","LOS04","PIR","w","exhibition","y"
"KCM194004160","harvb101","IN8","","","value","","","","","","","","","","","","","","","","","","","","","","","19400416","0","FTW01","KCM","w","exhibition",""
"KCM194004210","harvb101","IN8","7","2","value","1","1","0","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19400421","0","ATL04","KCM","l","exhibition","y"
"BLG194005051","harvb101","IN8","8","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","1","","","0","","","","","19400505","1","NSH02","BLG","l","exhibition","y"
"MEM194204050","harvb101","BLG","5","1","value","4","3","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","","19420405","0","MEM02","MEM","l","exhibition","y"
"BLG194204122","harvb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19420412","2","NOL01","NY6","w","exhibition",""
"BLG194204190","harvb101","BLG","9","2","value","1","1","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19420419","0","ATL04","NY6","l","exhibition","y"
"BLG194205031","harvb101","BLG","9","3","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19420503","1","NSH02","NY5","w","exhibition","y"
"BLG194205032","harvb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19420503","2","NSH02","NY5","w","exhibition",""
"BLG194205100","harvb101","BLG","9","3","value","1","0","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","","19420510","0","BAL10","PH5","w","regular","y"
"HOM194205120","harvb101","BLG","8","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19420512","0","AKR01","HOM","l","exhibition","y"
"HOM194205171","harvb101","BLG","9","1","value","3","3","1","2","0","0","0","1","0","","0","0","0","0","0","","","0","","","","","19420517","1","WAS09","HOM","w","regular","y"
"PH5194205250","harvb101","BLG","9","2","value","2","2","1","1","0","0","1","1","0","","0","0","0","","0","","","0","","","","","19420525","0","CHA02","PH5","l","exhibition","y"
"BLG194205301","harvb101","BLG","9","3","value","1","0","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","","19420530","1","BAL14","NW2","w","regular","y"
"BLG194205302","harvb101","BLG","9","1","value","0","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19420530","2","BAL14","NW2","l","regular","y"
"PH5194206110","harvb101","BLG","9","1","value","2","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19420611","0","PHI17","PH5","l","regular","y"
"BLG194206141","harvb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","1","","19420614","1","DET04","NY6","l","regular",""
"BLG194206142","harvb101","BLG","","","value","","","1","1","","","","0","","","","","","","","","","","","","","","19420614","2","DET04","NY6","l","regular",""
"BLG194206142","harvb101","BLG","","","lower","","1","1","1","","","","0","","","","","","","","","","","","","","","19420614","2","DET04","NY6","l","regular",""
"BLG194206170","harvb101","BLG","6","1","value","4","4","1","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19420617","0","BAL14","KCM","l","exhibition","y"
