id1,relation,id2
ortib101,Brother,ortir101
osbot101,Father,osbob101
otood101,Brother,otooj101
owend001,Brother,owens001
owinm001,Brother-in-Law,tuiam001
pacij001,Brother,pacij101
pacij001,Brother,pacit001
pacij101,Brother,pacit001
paepj801,Father,paepd101
pagnt001,Uncle,pagnm001
palaj001,Brother,palar002
palar001,Uncle,palaj001
palar001,Uncle,palar002
palmr001,Cousin,palmo001
palmu101,Brother-in-Law,morrt102
parkd102,Brother,parkj101
parrt101,Brother,parrj101
parts102,Father,parts101
pascc102,Brother,pascc101
pastc101,Father,pastt001
pattc001,Brother,patte001
patth103,Brother,pattp101
pedes001,Father,pedej001
peith101,Brother,peitj101
penag001,Father,penaj004
penar001,Uncle,penaf001
penar001,Uncle,penat002
penat001,Brother,penar001
penat001,Father,penaf001
penat001,Father,penat002
penat002,Brother,penaf001
pennh101,Father-in-Law,colle102
peplh101,Brother,peplp101
peral001,Brother,peraf001
perec003,Brother,perec005
perem001,Brother,perec001
perem001,Brother,perep001
perep001,Brother,perec001
peret001,Father,peree001
perrg101,Brother,perrj102
perrh001,Brother,perrc001
perrr101,Cousin,perzs101
peteh101,Father,peter801
pettj102,Father,pettj001
petwh101,Brother,petwb101
pfefj101,Brother,pfeff102
philb101,Half Brother,wolfb102
philj003,Brother,philk001
pierd102,Brother,pierd101
pikej102,Brother,pikel101
pillb001,Brother,pillt001
pillh101,Father,pilld101
pipge101,Brother,pipgg101
plasm001,Brother,plasm801
plesd001,Uncle,alexb001
plesd001,Uncle,alexc001
plesd001,Uncle,plesz001
plesz001,Cousin,alexb001
plesz001,Cousin,alexc001
plumb101,Grandfather,menec001
pomed001,Brother,pomes001
popew101,Brother,poped101
posal101,Uncle,posaj001
pottd102,Brother,potts101
poweb101,Step Brother,taylc102
quanp001,Father,quanc001
queem101,Father,queem102
quint001,Brother,quinr002
radbc101,Cousin,radbg101
radca101,Brother,radct101
radch101,Cousin,radca101
radch101,Cousin,radct101
raint001,Father,raint002
rajsd101,Brother,rajsg001
ramoh001,Brother,ramoh002
rasmc001,Brother,rasmc002
rathf101,Father,rathf001
rathm101,Uncle,balem101
reaca101,Brother,reacb101
reccj101,Brother,reccp101
redmt001,Brother,redmp001
reusp101,Brother,reusr001
reynd101,Brother,reynh001
reynt101,Cousin,robif102
rickd102,Brother,rickd101
ridde101,Brother,riddj101
rilee001,Uncle,harrw001
ripkc001,Brother,ripkb001
ripkc801,Father,ripkb001
ripkc801,Father,ripkc001
